NO_UF,SG_UF,CO_UF,NO_MUNICIPIO,CO_MUNICIPIO,CO_ENTIDADE,TP_DEPENDENCIA,REDE,TP_LOCALIZACAO,TP_SITUACAO_FUNCIONAMENTO,IN_DESKTOP_ALUNO,QT_DESKTOP_ALUNO,IN_COMP_PORTATIL_ALUNO,QT_COMP_PORTATIL_ALUNO,IN_TABLET_ALUNO,QT_TABLET_ALUNO,IN_INTERNET,IN_INTERNET_ALUNOS,IN_INTERNET_APRENDIZAGEM,TP_REDE_LOCAL,IN_BANDA_LARGA,IN_REGULAR,QT_MAT_BAS,QT_MAT_BAS_D,QT_MAT_BAS_N,QT_DOC_BAS,QT_TUR_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_FUND_AI,QT_MAT_FUND_AF,QT_MAT_MED,QT_MAT_PROF,QT_MAT_PROF_TEC,QT_MAT_EJA,QT_MAT_EJA_FUND,QT_MAT_EJA_MED,QT_MAT_ESP,QT_MAT_ESP_CC,QT_MAT_ESP_CE,mat_maior_turno,maior_turno,proxy_maior_turno,TCP_DOWN_MBPS,LAST_MEASURE2,n_disp_est,est_por_disp,nivel_dispos,i_dispos,vel_est,i_conec_simet,ano,Competência,versao,base,data_quest,i_comp,soma_i,i_viab,tam_esc,in_INF,in_FUND_AI,in_FUND_AF,atend_etapas0,apoio_IEC,apoio_CIEB,assessoria_cieb0,Destinação,Vl Devido Custeio,Vl Devido Capital,Vl Devido Total,Vl Ajuste Custeio,Vl Ajuste Capital,Vl Ajuste Total,Vl Final Devido Total,Vl Pago Custeio,Vl Pago Capital,Valor Pago Total,Data Ord. Pgto,in_MED
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026152,3,Municipal,2,1,0,0,0,0,1,34,1,0,0,3,1,1,403,303,100,10,13,0,0,0,303,134,169,0,0,0,100,100,0,10,10,0,303,DIURNO,168,NA,NA,34,"4,941176471",3,1,NA,NA,2019,2,1,MEC,5/22/19 8:27,0,2,0,M,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026179,3,Municipal,2,1,0,0,0,0,0,0,1,0,1,9,1,1,122,122,0,18,10,122,122,0,0,0,0,0,0,0,0,0,0,1,1,0,122,DIURNO,68,NA,NA,0,NA,1,0,NA,NA,2019,2,1,MEC,5/22/19 15:18,0,1,0,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28026187,3,Municipal,1,1,1,1,0,0,0,0,1,1,0,2,1,1,54,54,0,2,4,54,0,54,0,0,0,0,0,0,0,0,0,1,1,0,54,DIURNO,54,NA,NA,1,54,1,0,NA,NA,2019,1,1,MEC,6/26/19 11:00,0,1,0,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28032071,3,Municipal,1,1,0,0,1,1,1,30,1,1,0,2,0,1,454,367,87,9,21,0,0,0,367,197,170,0,0,0,87,87,0,10,10,0,367,DIURNO,208,NA,NA,31,"6,709677419",2,0,NA,NA,2019,3,1,MEC,6/26/19 10:15,1,2,0,M,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28032837,3,Municipal,2,1,0,0,0,0,1,8,0,0,0,0,NA,1,118,102,16,10,8,46,29,17,56,56,0,0,0,0,16,16,0,2,2,0,102,DIURNO,57,NA,NA,8,"7,125",2,0,NA,NA,2019,2,1,MEC,5/22/19 15:36,0,0,0,P,EI,EF_AI,,EI_EF_AI,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28035445,3,Municipal,1,1,0,0,0,0,0,0,0,0,0,9,NA,1,151,151,0,9,6,151,151,0,0,0,0,0,0,0,0,0,0,0,0,0,151,DIURNO,151,NA,NA,0,NA,1,0,NA,NA,2019,2,1,MEC,5/22/19 13:50,0,0,0,P,EI,,,EI_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Sergipe,SE,28,Santa Luzia do Itanhy,2806305,28042000,3,Municipal,1,1,0,0,1,1,1,33,1,0,0,2,1,1,246,246,0,4,11,34,0,34,212,127,85,0,0,0,0,0,0,19,19,0,246,DIURNO,137,NA,NA,34,"4,029411765",3,1,NA,NA,2019,3,1,MEC,5/24/19 12:25,1,3,1,M,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Mato Grosso,MT,51,Gaucha do Norte,5103858,51018241,3,Municipal,2,1,1,7,0,0,0,0,1,0,0,1,1,1,45,45,0,4,3,0,0,0,45,41,4,0,0,0,0,0,0,4,4,0,45,DIURNO,45,NA,NA,7,"6,428571429",2,0,NA,NA,2019,4,1,MEC,8/9/19 17:57,1,2,0,P,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,,,,,,
Mato Grosso,MT,51,Gaucha do Norte,5103858,51018268,3,Municipal,1,1,0,0,0,0,0,0,1,0,0,1,0,1,498,498,0,42,19,0,0,0,498,423,75,0,0,0,0,0,0,31,31,0,498,DIURNO,252,"73,95",10/5/21 8:26,0,NA,1,0,"0,293452381",0,2019,1,1,MEC,5/30/19 8:56,0,1,0,M,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,PDDE QUALIDADE / Educacao Conectada 2021,0,"3.328,00","3.328,00",0,0,0,"3.328,00",0,"3.328,00","3.328,00",11/11/2021,
Mato Grosso,MT,51,Gaucha do Norte,5103858,51057166,2,Estadual,1,1,1,7,0,0,0,0,1,1,1,3,0,1,551,501,50,21,21,0,0,0,278,0,278,223,0,0,50,0,50,11,11,0,501,DIURNO,359,"86,61",3/7/22 15:44,7,"51,28571429",1,0,"0,241253482",0,2019,3,1,MEC,9/6/19 15:17,1,2,0,G,,,EF_AF,EF_AF_EM,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,EM
Mato Grosso,MT,51,Gaucha do Norte,5103858,51059460,3,Municipal,2,1,0,0,0,0,0,0,0,0,0,9,NA,1,50,50,0,28,4,10,0,10,40,22,18,0,0,0,0,0,0,0,0,0,50,DIURNO,34,NA,NA,0,NA,1,0,NA,NA,2019,1,1,MEC,8/8/19 10:31,0,0,0,P,EI,EF_AI,EF_AF,EI_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
Mato Grosso,MT,51,Gaucha do Norte,5103858,51059479,2,Estadual,2,1,0,0,1,1,0,0,1,1,1,2,0,1,390,344,46,77,27,0,0,0,257,132,125,76,0,0,57,45,12,0,0,0,344,DIURNO,208,NA,NA,1,208,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M,,EF_AI,EF_AF,_EF_AI_EF_AF_EM,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,EM
Mato Grosso,MT,51,Gaucha do Norte,5103858,51059487,2,Estadual,2,1,0,0,0,0,0,0,0,0,0,0,NA,1,111,111,0,26,7,0,0,0,111,54,57,0,0,0,0,0,0,0,0,0,111,DIURNO,59,NA,NA,0,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P,,EF_AI,EF_AF,_EF_AI_EF_AF_,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,
